original_source_line,new_release_line,multiplicity,permutation_source_to_release
2996,493,4,0;1;2;3;4
2997,377,4,0;2;1;3;4
2998,46,4,0;1;2;3;4
2999,67,4,0;1;2;3;4
3000,526,4,0;1;2;3;4
3001,108,4,0;1;2;3;4
5171,11693,5,0;2;1;3;4
5172,13441,5,0;1;2;3;4
5173,11918,5,0;3;2;1;4
5174,13256,5,0;3;4;1;2
5175,13572,5,0;1;2;3;4
5176,13975,5,0;1;4;3;2
5177,15308,5,0;1;2;3;4
5178,15443,5,0;1;2;3;4
5179,16542,5,0;1;2;3;4
5180,7248,5,0;4;3;2;1
5181,16826,5,0;1;2;4;3
5182,8266,5,0;4;2;3;1
5183,9961,5,0;3;4;2;1
5184,13389,5,0;3;2;4;1
5185,15993,5,0;3;4;1;2
5186,15992,5,0;1;2;3;4
5187,13442,5,0;1;2;3;4
5188,16000,5,0;4;2;3;1
5189,14803,5,0;3;4;1;2
5190,14038,5,0;4;1;3;2
5191,14756,5,0;3;4;1;2
5192,14196,5,0;4;3;1;2
5193,13895,5,0;4;2;3;1
5194,10454,5,0;4;1;3;2
5195,15828,5,0;4;1;3;2
5196,14764,5,0;4;1;2;3
5197,7098,5,0;4;3;2;1
5198,11338,5,0;4;3;2;1
5199,14260,5,0;1;4;2;3
5200,9105,5,0;4;3;1;2
5201,10416,5,0;1;2;3;4
5202,8034,5,0;4;2;3;1
5203,16221,5,0;4;1;2;3
5204,6807,5,0;4;3;1;2
5205,14675,5,0;4;3;1;2
5206,7279,5,0;4;3;1;2
5207,12901,5,0;3;4;1;2
5208,9535,5,0;1;2;3;4
5209,13072,5,0;3;1;2;4
5210,14341,5,0;3;4;1;2
5211,9104,5,0;4;3;1;2
5212,9533,5,0;4;3;2;1
5213,7256,5,0;4;3;2;1
5214,12362,5,0;4;3;1;2
5215,1485,5,0;1;2;4;3
5216,1282,5,0;1;2;4;3
5217,1692,5,0;1;2;4;3
5218,1506,5,0;1;2;4;3
5219,1505,5,0;1;3;2;4
5220,831,5,0;1;3;2;4
5221,809,5,0;1;3;2;4
5222,1864,5,0;1;3;2;4
5223,4282,5,0;1;2;3;4
5224,3133,5,0;1;3;2;4
5225,3058,5,0;1;3;4;2
5226,4145,5,0;1;4;2;3
5227,4321,5,0;1;3;4;2
5228,4690,5,0;1;2;3;4
5229,4342,5,0;1;3;2;4
5230,4721,5,0;1;3;4;2
5231,2852,5,0;1;4;3;2
5232,12118,5,0;2;4;1;3
5233,13994,5,0;1;3;2;4
5234,12641,5,0;3;4;1;2
5235,11167,5,0;4;3;2;1
5236,6994,5,0;4;3;2;1
5237,12447,5,0;4;3;1;2
5238,1472,5,0;1;2;4;3
5239,1269,5,0;1;2;4;3
5240,1675,5,0;1;2;4;3
5241,3431,5,0;1;2;3;4
5242,3435,5,0;1;2;4;3
5243,3685,5,0;1;2;4;3
5244,3884,5,0;1;4;3;2
5245,3823,5,0;1;4;2;3
5246,9220,5,0;4;3;2;1
5247,16226,5,0;4;1;2;3
5248,12360,5,0;1;2;4;3
5249,15776,5,0;1;3;4;2
5250,3354,5,0;1;2;3;4
5251,3372,5,0;1;2;3;4
5252,3383,5,0;1;2;4;3
5253,3376,5,0;1;2;4;3
5254,3805,5,0;1;2;3;4
5255,3801,5,0;1;4;2;3
5256,9143,5,0;3;4;1;2
5257,9083,5,0;4;3;1;2
5258,4195,5,0;1;2;3;4
5259,2938,5,0;1;3;4;2
5260,2909,5,0;1;3;4;2
5261,4287,5,0;1;2;4;3
5262,2950,5,0;1;4;3;2
5263,4153,5,0;1;4;3;2
5264,7421,5,0;4;3;1;2
5265,11282,5,0;3;1;4;2
5266,14064,5,0;1;4;2;3
5267,6772,5,0;4;3;2;1
5268,12295,5,0;4;1;3;2
5269,11173,5,0;2;3;4;1
5270,11135,5,0;4;3;1;2
5271,1070,5,0;1;2;4;3
5272,1071,5,0;1;2;4;3
5273,1069,5,0;1;3;2;4
5274,1064,5,0;1;3;2;4
5275,3429,5,0;1;2;3;4
5276,3029,5,0;1;3;2;4
5277,2845,5,0;1;4;3;2
5278,3656,5,0;1;3;4;2
5279,1053,5,0;1;2;4;3
5280,725,5,0;1;2;4;3
5281,1475,5,0;1;2;4;3
5282,1674,5,0;1;3;2;4
5283,830,5,0;1;3;2;4
5284,2814,5,0;1;2;4;3
5285,4194,5,0;1;3;2;4
5286,4616,5,0;1;3;2;4
5287,2866,5,0;1;4;2;3
5288,2862,5,0;1;4;2;3
5289,4258,5,0;1;4;3;2
5290,7480,5,0;3;4;2;1
5291,10539,5,0;3;2;4;1
5292,15672,5,0;1;2;3;4
5293,6583,5,0;4;3;2;1
5294,10358,5,0;4;3;2;1
5295,3657,5,0;1;3;4;2
5296,1046,5,0;1;3;2;4
5297,8985,5,0;3;2;4;1
5298,13876,5,0;3;2;4;1
5299,3131,5,0;1;3;4;2
5300,10286,5,0;1;2;4;3
5301,12299,5,0;1;2;3;4
5302,14134,5,0;1;3;4;2
5303,12086,5,0;4;1;3;2
5304,7012,5,0;4;3;2;1
5305,1068,5,0;1;3;2;4
5306,1063,5,0;1;3;2;4
5307,3883,5,0;1;4;3;2
5308,12401,5,0;1;4;3;2
5309,13875,5,0;1;3;2;4
5310,13874,5,0;4;3;2;1
5311,8981,5,0;3;4;1;2
5312,10318,5,0;3;4;2;1
5313,1052,5,0;1;2;4;3
5314,741,5,0;1;3;2;4
5315,757,5,0;1;3;2;4
5316,10385,5,0;4;1;3;2
5317,10284,5,0;4;3;1;2
5318,15764,5,0;1;3;4;2
5319,6984,5,0;4;3;2;1
5320,1221,5,0;1;2;4;3
5321,764,5,0;1;2;4;3
5322,763,5,0;1;3;2;4
5323,1228,5,0;1;3;2;4
5324,1437,5,0;1;3;2;4
5325,1635,5,0;1;3;2;4
